City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saskylakh,RU,71.9167,114.0833,-0.04,98,100,13.0,overcast clouds
80,Huilong,CN,31.8111,121.655,49.93,75,18,9.48,few clouds
81,Norman Wells,CA,65.282,-126.8329,8.64,78,75,4.61,broken clouds
82,Jamestown,US,42.097,-79.2353,40.51,68,75,10.36,broken clouds
83,Pevek,RU,69.7008,170.3133,-20.79,97,28,4.47,scattered clouds
84,Yumen,CN,40.2833,97.2,47.37,16,2,1.25,clear sky
85,Nueva Gerona,CU,21.8833,-82.8,80.28,60,22,15.32,few clouds
86,Yar-Sale,RU,66.8333,70.8333,23.83,82,100,23.85,overcast clouds
87,Qandala,SO,11.472,49.8728,84.15,67,64,5.35,broken clouds
88,Oil City,US,41.4339,-79.7064,42.8,58,0,8.05,clear sky
89,Luxor,EG,25.6989,32.6421,97.14,4,2,13.87,clear sky
90,Carutapera,BR,-1.195,-46.02,79.27,88,100,5.01,overcast clouds
91,Marsh Harbour,BS,26.5412,-77.0636,75.27,67,47,17.25,scattered clouds
92,Souillac,MU,-20.5167,57.5167,80.98,74,40,3.44,scattered clouds
93,Hilo,US,19.7297,-155.09,67.62,90,75,5.99,broken clouds
94,Kutum,SD,14.2,24.6667,91.42,8,48,13.47,scattered clouds
95,Anloga,GH,5.7947,0.8973,84.92,72,100,13.98,overcast clouds
96,Najran,SA,17.4924,44.1277,90.25,25,85,11.23,light rain
97,Pacific Grove,US,36.6177,-121.9166,51.48,85,100,4.61,overcast clouds
98,Beruwala,LK,6.4788,79.9828,80.49,79,62,6.26,light rain
99,Carbonia,IT,39.1672,8.5222,64.0,47,1,10.67,clear sky
100,Vryburg,ZA,-26.9566,24.7284,86.68,19,47,10.89,scattered clouds
101,Constanta,RO,44.1833,28.65,54.28,58,85,9.78,overcast clouds
102,Bethel,US,41.3712,-73.414,55.0,31,0,8.05,clear sky
103,Mar Del Plata,AR,-38.0023,-57.5575,71.94,75,0,9.22,clear sky
104,Gryazi,RU,52.4966,39.9359,59.61,36,100,11.99,overcast clouds
105,Riyadh,SA,24.6877,46.7219,86.14,10,83,13.27,moderate rain
106,Sorland,NO,67.667,12.6934,40.86,88,100,22.82,light rain
107,Klaksvik,FO,62.2266,-6.589,49.12,84,52,16.33,broken clouds
108,Iskateley,RU,67.6803,53.1512,33.03,90,100,19.89,overcast clouds
109,Codrington,AU,-38.2667,141.9667,58.32,86,81,16.4,broken clouds
110,Victoria,HK,22.2855,114.1577,74.19,80,40,3.0,scattered clouds
111,Pangnirtung,CA,66.1451,-65.7125,-5.8,77,20,4.61,few clouds
112,Luderitz,NA,-26.6481,15.1594,68.85,66,0,23.62,clear sky
113,Pangody,RU,65.85,74.4859,19.38,93,100,20.49,light snow
114,Bathsheba,BB,13.2167,-59.5167,84.81,61,75,23.02,light rain
115,Buin,CL,-33.7333,-70.75,77.32,22,100,0.54,overcast clouds
116,Longyearbyen,SJ,78.2186,15.6401,19.24,79,75,27.63,broken clouds
117,Ribeira Grande,PT,38.5167,-28.7,59.4,58,40,13.8,light rain
118,Hithadhoo,MV,-0.6,73.0833,82.72,66,13,2.28,few clouds
119,Brae,GB,60.3964,-1.353,47.07,82,87,12.59,overcast clouds
120,Clyde River,CA,70.4692,-68.5914,-5.57,71,0,10.36,clear sky
121,Gat,IL,31.61,34.7642,81.39,27,94,7.02,overcast clouds
122,Bandarbeyla,SO,9.4942,50.8122,82.87,64,67,9.75,broken clouds
123,Hua Hin,TH,12.5707,99.9588,82.92,78,78,8.7,broken clouds
124,Port Alfred,ZA,-33.5906,26.891,71.19,72,23,7.0,few clouds
125,Biak,ID,-0.9131,122.8766,78.08,74,82,6.82,broken clouds
126,Nemuro,JP,43.3236,145.575,40.59,99,100,14.79,light rain
127,Vao,NC,-22.6667,167.4833,74.77,74,3,7.11,clear sky
128,Lebu,CL,-37.6167,-73.65,57.27,64,99,13.22,overcast clouds
129,Bara,NG,10.3744,10.7288,105.58,8,100,1.95,overcast clouds
130,Pointe Michel,DM,15.25,-61.3833,85.14,51,75,6.91,light rain
131,Tilichiki,RU,60.4667,166.1,-1.79,98,17,3.4,few clouds
132,Wanning,CN,18.8003,110.3967,73.53,95,100,9.15,overcast clouds
133,Zhangye,CN,38.9342,100.4517,49.32,19,100,1.72,overcast clouds
134,Shingu,JP,33.7333,135.9833,56.52,91,10,6.46,clear sky
135,Quilmana,PE,-12.95,-76.3833,78.06,76,59,6.02,broken clouds
136,Ekhabi,RU,53.5102,142.9671,26.28,88,100,15.26,overcast clouds
137,Rocha,UY,-34.4833,-54.3333,70.34,64,99,5.88,overcast clouds
138,Sidi Ali,DZ,36.0998,0.4206,64.76,44,0,11.81,clear sky
139,Ewa Beach,US,21.3156,-158.0072,76.95,77,0,6.91,clear sky
140,Vanimo,PG,-2.6741,141.3028,78.06,87,100,2.71,light rain
141,Dudinka,RU,69.4058,86.1778,-18.38,100,99,2.06,overcast clouds
142,Altar,MX,30.7,-111.8167,56.71,26,0,1.9,clear sky
143,Kurilsk,RU,45.2333,147.8833,38.79,98,100,6.51,overcast clouds
144,Cap Malheureux,MU,-19.9842,57.6142,81.46,72,53,3.0,broken clouds
145,Quatre Cocos,MU,-20.2078,57.7625,81.09,75,82,7.76,broken clouds
146,Carnarvon,AU,-24.8667,113.6333,72.84,57,0,16.04,clear sky
147,Mizan Teferi,ET,6.9833,35.5833,77.07,58,89,3.11,light rain
148,Kapaa,US,22.0752,-159.319,73.72,85,40,16.11,scattered clouds
149,Cockburn Town,TC,21.4612,-71.1419,76.55,74,12,19.33,light rain
150,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,67,40,12.86,light rain
151,Igrim,RU,63.1906,64.4162,24.4,83,100,11.23,overcast clouds
152,Ust-Kuyga,RU,70.0167,135.6,-16.29,99,47,3.36,scattered clouds
153,Berlevag,NO,70.8578,29.0864,39.2,65,100,11.5,overcast clouds
154,Damaturu,NG,11.747,11.9608,106.05,8,100,11.54,overcast clouds
155,Vaini,TO,-21.2,-175.2,78.96,94,75,5.75,broken clouds
156,Coolum Beach,AU,-26.5333,153.1,73.11,94,45,12.39,light rain
157,Husavik,IS,66.0449,-17.3389,37.65,90,99,8.61,overcast clouds
158,Itarema,BR,-2.9248,-39.9167,83.37,72,92,9.6,overcast clouds
159,Laguna,US,38.421,-121.4238,51.78,91,100,6.91,overcast clouds
160,San Quintin,MX,30.4833,-115.95,55.94,76,99,5.82,overcast clouds
161,Sosnytsya,UA,51.5239,32.4999,53.44,68,100,3.96,overcast clouds
162,Irricana,CA,51.3237,-113.6048,37.38,90,38,5.88,scattered clouds
